booking_id,booking_number,guest_name,guest_contact,guest_aadhaar,rank,army_number,unit,command_hq,service_type,identity_card_number,serving_status,check_in_date,check_out_date,status,family_members_with_dependent_ids
d28e3532-7d41-429e-ac56-42f100be021b,BK0001,trial1,+91 8765432112,232343431212,Nb Sub,1432567A,2 PARA,Eastern Command,Army,123456,,2026-04-07,2026-04-09,checked_out,
022da59b-457c-4176-b77d-acbed7c5556b,BK0002,wewdsd,+91 8765675677,123213213232,Nk,4732567677,ww,,,,,2026-04-08,2026-04-11,confirmed,
43a75da9-ce1a-42e2-b439-f7f71ab78c53,BK0004,ggggg,+91 7232132132,123123213232,Sub,232323232,eeee,Western Command,Army,23123,,2026-04-06,2026-04-11,cancelled,
3f1d241f-9831-4d53-ba93-9c23375ff391,BK0005,Eddd,+91 9876543210,111111111111,JWO,5688iiwi,3 SP,,,TEST-ID-12345,,2026-04-07,2026-04-10,checked_in,
6901a023-9965-4ebf-af9b-f13053431a55,BK0006,Tytyyy,+91 9876543210,,SM,4678uyu,3 Jat,,,TEST-ID-12345,,2026-04-09,2026-04-13,checked_in,
54448de1-86d3-4fa9-84da-e4521fdd67e4,BK0007,TEST_CheckInPricing_Guest,+91 9876543210,,Hav,TEST-12345,Test Unit,,,TEST-ID-12345,,2026-05-07,2026-05-09,checked_in,
2d3ab4a7-9980-4ec4-9657-e84c61f78156,BK0008,TEST_Pricing_f957d95e,+91 9876543210,,Hav,TEST-b3c75f,Test Unit,E Command,Army,VALID-ID-12345,,2026-10-14,2026-10-16,checked_in,
febc18b5-9b36-4cad-9312-6ae5214e5529,BK0009,TEST_Pricing_4d33a265,+91 9876543210,,Hav,TEST-b7fb17,Test Unit,E Command,Army,VALID-ID-12345,,2026-09-18,2026-09-20,checked_in,
713005c4-798e-446c-81e5-a985923e4b90,BK0010,TEST_Pricing_bc0dddd2,+91 9876543210,,Hav,TEST-2bb609,Test Unit,E Command,Army,VALID-ID-12345,,2027-01-15,2027-01-17,checked_in,Test Wife:DEP-ID-001; Test Son:DEP-ID-002
d96ff3f1-3f7d-4193-81a0-c32f36e3a734,BK0011,TEST_Pricing_02f34ddd,+91 9876543210,,Hav,TEST-456170,Test Unit,E Command,Army,VALID-ID-12345,,2027-02-13,2027-02-15,checked_in,
496848eb-98e6-41da-b587-75aebdf54905,BK0012,TEST_UI_CheckIn,+91 9876543210,,Hav,TEST-UI-001,Test Unit,E Command,Army,VALID-ID-12345,,2026-04-07,2026-04-09,checked_in,
fc9453cf-5c98-4e60-8ee7-cd29c9987a9b,BK0013,Ram,+91 9876543210,,Nb Sub,12345678w,3 Jat,,,TEST-ID-12345,,2026-04-07,2026-04-11,checked_in,
fd0d6e4a-66d6-489f-bb01-ab2788bc8fbb,BK0014,Rajesh,+91 7777777777,,Hony Lt or Eqvt,12345678R,7 Kimaon,Central Command,Army,123456,,2026-04-07,2026-04-10,checked_in,radha:1234; RAJA:2222
0b65a2cb-f36b-4d59-8d1e-01d3c89ee240,BK0015,TEST_P1_BankDetails_233ab404,+91 9876543210,,Hav,TEST-69a9da,Test Unit,,,,,2027-12-08,2027-12-10,confirmed,
e1018471-54c6-43a7-a3bd-30f6caba3048,BK0016,TEST_P1_UPIOnly_fe5b8f07,+91 9876543211,,Sep/Dfr/Swr,,,,,,,2028-04-18,2028-04-20,confirmed,
950c9e46-d0e1-4121-b439-d15318d1b6a5,BK0017,TEST_P1_Refund_c7b30570,+91 9876543212,,Nk,,,,,,,2028-03-27,2028-03-29,cancelled,
86f29f76-708f-4c1a-97fe-f57afab1fe92,BK0018,TEST_P1_CheckIn_fcd75e73,+91 9876543213,,Hav,,,,,,,2028-05-15,2028-05-17,confirmed,
c646a76f-dfab-4da0-80dc-3145aa399877,BK0019,TEST_P1_UPIPayment_fd9e0652,+91 9876543214,,Sgt,,,,,,,2028-07-08,2028-07-10,confirmed,
6f613130-9185-4d1c-9189-6afd5a74a7b3,BK0020,TEST_P1_BankTransfer_524199b3,+91 9876543215,,PO,,,,,,,2028-10-11,2028-10-13,confirmed,
c39d0dde-9124-4558-976d-dca4097ce057,BK0021,TEST_P2_Exclude_eb0cf29f,+91 9876543210,,Hav,,,,,,,2026-12-02,2026-12-04,confirmed,
d26c9571-e717-4fde-806c-17d8c400ddcc,BK0022,TEST_P2_ExcludeBooking_74269aa9,+91 9876543211,,Nk,,,,,,,2027-04-15,2027-04-17,confirmed,
